# angle(deg)  O-Si-O_LES  O-Si-O_HES  Si-O-Si_LES  Si-O-Si_HES   [Dechant JPCC2026 Fig.4, colour-digitized, area-normalised]
7.800000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.900000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.100000000000000000e+01 2.795604067914541323e-04 4.720125594063186917e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.200000000000000000e+01 2.795604067914541323e-04 7.010087515935430795e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.300000000000000000e+01 2.795604067914541323e-04 9.627186855217999099e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.400000000000000000e+01 2.795604067914541323e-04 1.261815752868377565e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.500000000000000000e+01 2.795604067914541323e-04 1.682421003824503348e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.600000000000000000e+01 2.795604067914541323e-04 1.542219253505794753e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.700000000000000000e+01 2.795604067914541323e-04 1.261815752868377565e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.800000000000000000e+01 2.795604067914541323e-04 9.533719021672197851e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.900000000000000000e+01 2.795604067914541323e-04 6.636216181752223634e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000000e+01 4.193406101871811984e-04 4.673391677290287378e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.100000000000000000e+01 4.752526915454696071e-04 3.444957293545410646e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.200000000000000000e+01 1.076307566147099559e-03 4.206052509561258369e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.300000000000000000e+01 1.719296501767447619e-03 7.010087515935430795e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.400000000000000000e+01 2.627867823839669104e-03 1.289856102932119023e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.500000000000000000e+01 4.799120316586645389e-03 2.476897588963860360e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.600000000000000000e+01 6.318065193486867466e-03 4.196705726206684424e-03 0.000000000000000000e+00 3.198300022225469569e-03
9.700000000000000000e+01 9.477097790230296429e-03 6.813805065489247741e-03 0.000000000000000000e+00 2.114130523165988051e-03
9.800000000000000000e+01 1.338162480508427350e-02 1.020668742320199503e-02 0.000000000000000000e+00 1.333528483843162641e-03
9.900000000000000000e+01 2.018426137034299780e-02 1.461836916656402210e-02 0.000000000000000000e+00 7.426561068557453477e-04
1.000000000000000000e+02 2.432175539085651081e-02 2.074985904716887541e-02 0.000000000000000000e+00 3.252508497178448785e-04
1.010000000000000000e+02 2.886927134133080927e-02 2.767894110736459842e-02 0.000000000000000000e+00 2.439381372883836453e-04
